graph	root	writing, drawing, recording	Greek	anemograph,arteriography,autobiography,autograph	v:1	graph(0)=writing, drawing, recording	c:0	graphy
grat	root	pleasing	Latin	congratulate,grateful,gratify,gratitude	v:1	grat(0)=pleasing	c:0	
grav	root	heavy	Latin	aggravate,grave2,gravimetric,gravitas	v:1	grav(0)=heavy	c:0	
greg	root	flock, gathering	Latin	aggregate,aggregation,congregate,congregation	v:1	greg(0)=flock, gathering	c:0	
gress	root	to walk, go	Latin	aggress,aggression,aggressive,congress	v:1	gress(0)=to walk, go	c:0	
gyn	root	woman, female	Greek	androgynous,epigynous,gynandromorph,gynecocracy	v:1	gyn(0)=woman, female	c:0	gyno/gyne/gynec/gyneco
gyr	root	circle	Greek	gyrate,gyre,gyro,gyrocompass	v:1	gyr(0)=circle	c:0	gyro
hab	root	hold, have	Latin	exhibit,habit,habitat,habitual	v:1	hab(0)=hold, have	c:0	hib
hect	root	hundred	Greek	hecatomb,hectare,hectogram,hectograph	v:1	hect(0)=hundred	c:0	hecto/hecat
heli	root	sun	Greek	aphelion,heliocentric,heliograph,Helios	v:1	heli(0)=sun	c:0	helio
helic	root	spiral, circular	Greek	helical,helicoid,helicopter,helix	v:1	helic(0)=spiral, circular	c:0	helico
hem	root	blood; blood condition	Greek	anaemia,anemia,aplastic anemia,hemacytometer	v:1	hem(0)=blood; blood condition	c:0	hemo/hemat/hemato/hema/emia/aemia
hemi	prefix	half, partly	Greek	hemidemisemiquaver,hemihedral,hemihydrate,hemiparasite	v:1	hemi-(0)=half, partly	c:0	
hepat	root	liver	Greek	hepatectomy,hepatic,hepatica,hepatitis	v:1	hepat(0)=liver	c:0	hepato
hept	root	seven	Greek	heptad,heptagon,heptameter,heptarchy	v:1	hept(0)=seven	c:0	hepta
her	root	stick	Latin	adhere,adherent,adhesion,adhesive	v:1	her(0)=stick	c:0	hes
hetero	root	different, other	Greek	heterocyclic,heterodox,heterodoxy,heterogamete	v:1	hetero(0)=different, other	c:0	
hexa	root	six	Greek	hexagon,hexagram,hexahedron,hexameter	v:1	hexa(0)=six	c:0	hex
hom	root	man, human	Latin	homage,homicide,hominoid,Homo sapiens	v:1	hom(0)=man, human	c:0	
